Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Small,Random Projection,20,5,45,0.8405797101449275,0.875,0.8,0.835820895522388,0.830672268907563,0.005867166968528181
Small,Baseline,536,5,45050,0.7971014492753623,0.8387096774193549,0.7428571428571429,0.7878787878787878,0.8432773109243696,0.005552541988436133
Small,PCA,50,5,45,0.7971014492753623,0.8181818181818182,0.7714285714285715,0.7941176470588235,0.8718487394957983,0.009028083004523069
Small,Random Projection,50,5,45,0.7246376811594203,0.75,0.6857142857142857,0.7164179104477612,0.8302521008403361,0.006115166994277388
Small,Baseline,536,5,45100,0.7536231884057971,0.7368421052631579,0.8,0.7671232876712328,0.8533613445378151,0.0047032919828779995
Small,PCA,100,5,45,0.7971014492753623,0.8181818181818182,0.7714285714285715,0.7941176470588235,0.8718487394957983,0.012535875022877008
Small,Random Projection,100,5,45,0.782608695652174,0.7777777777777778,0.8,0.7887323943661971,0.8495798319327731,0.005032208049669862
Medium,Baseline,561,5,45002,0.8846284356973193,0.8881280310848951,0.8804264817624813,0.8816303977317107,0.9697635720213681,0.20820587500929832
Medium,PCA,2,5,45,0.5486935866983373,0.5871098788776195,0.5492880236602546,0.5504438077484842,0.8474113457630407,0.050582708965521306
Medium,Random Projection,2,5,45,0.30302002035968784,0.2895872643097966,0.2948193584451615,0.28960011264636415,0.6410060660037288,0.02220433292677626
Medium,Baseline,561,5,45005,0.8764845605700713,0.8797830813457809,0.8711967547383944,0.8725237530430848,0.9702756106522452,0.18255104101262987
Medium,PCA,5,5,45,0.7974211062097047,0.8012636237038949,0.7896211616450142,0.7897887084501919,0.9464654620011181,0.08455841598333791
Medium,Random Projection,5,5,45,0.5083135391923991,0.5121205730863766,0.503677070541208,0.5053137920389218,0.8312135196483007,0.1114730840199627
Medium,Baseline,561,5,45010,0.8825924669155073,0.8861915766062568,0.8781915434846916,0.8795959240592905,0.9699327431785306,0.17684379097772762
Medium,PCA,10,5,45,0.842551747539871,0.8443842813122729,0.8378463098207547,0.838812436362562,0.9647964754439243,0.08210525097092614
Medium,Random Projection,10,5,45,0.66610111978283,0.6665843001892214,0.6587762127790714,0.6613459829452004,0.8999473827113195,0.11342083301860839
Medium,Baseline,561,5,45020,0.8815744825246012,0.8872514131592664,0.8768864929212841,0.8784493948180513,0.9737968750404439,0.17827820900129154
Medium,PCA,20,5,45,0.8601968103155752,0.8637154672521871,0.855993620397194,0.8573210772512988,0.9702291288172735,0.11285795900039375
Medium,Random Projection,20,5,45,0.7488971835765185,0.7555124799254876,0.7410734887082694,0.7442771021918687,0.9328696136139145,0.12206454202532768
Medium,Baseline,561,5,45050,0.8751272480488632,0.8799651709696493,0.8696553062407939,0.8709512543765913,0.9677254996065693,0.16145520796999335
Medium,PCA,50,5,45,0.8876823888700374,0.8897843247294892,0.883106530716241,0.8843520151007089,0.9774973526299294,0.07801987504353747
Medium,Random Projection,50,5,45,0.8564642008822532,0.8633851336151482,0.8510630088520723,0.8531890086354225,0.9714424220416827,0.0558674160274677
Medium,Baseline,561,5,45100,0.8887003732609433,0.8912265328272708,0.8843562234155521,0.8855109592013856,0.9699228241637089,0.25153049995424226
Medium,PCA,100,5,45,0.8978622327790974,0.9008460064541167,0.8933548171790039,0.8947232334479933,0.9792863603907151,0.12708633299916983
Medium,Random Projection,100,5,45,0.8873430607397353,0.8922837168268737,0.8827360416963844,0.8844133178458389,0.9786850757537376,0.08166354097193107
Medium,Baseline,561,5,45200,0.8870037326094333,0.8917879468666938,0.8821906944205264,0.8838524411689769,0.9715108475028885,0.17719383299117908
Medium,PCA,200,5,45,0.9032914828639295,0.9082451420547984,0.8985610932577912,0.9001662023792759,0.9801859035763377,0.11945924995234236
Medium,Random Projection,200,5,45,0.8965049202578894,0.9004048046549172,0.8924979749186103,0.8941329053703067,0.9782241848254499,0.08692737499950454
Medium,Baseline,561,5,45500,0.8798778418730913,0.8829137267810391,0.8751983203190247,0.8765012380722276,0.9708308653411124,0.19505933398613706
Medium,PCA,500,5,45,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799100556536308,0.250205458025448
Medium,Random Projection,500,5,45,0.8995588734306074,0.9039075539470082,0.8950598095712102,0.8965664996175301,0.9786655612063385,0.16953312495024875
Large,Baseline,784,5,45002,0.8452,0.848196454898589,0.8452,0.8450893162588253,0.9593132333333335,5.788269208045676
Large,PCA,2,5,45,0.5058,0.50326483839864,0.5058,0.5003066161034706,0.8521153666666667,0.2815835830406286
Large,Random Projection,2,5,45,0.2375,0.23824663486768766,0.2375,0.2324475729432997,0.6443174333333334,0.13745525002013892
Large,Baseline,784,5,45005,0.8424,0.8450845189742731,0.8423999999999999,0.8420914353903234,0.9587657611111112,5.779817207949236
Large,PCA,5,5,45,0.7481,0.7455583306327229,0.7481,0.7452932900709355,0.9324499222222222,0.458328208012972
Large,Random Projection,5,5,45,0.5689,0.5651122974257035,0.5689,0.5641386028143114,0.8632905944444446,0.25815624999813735
Large,Baseline,784,5,45010,0.8387,0.8420491404551628,0.8386999999999999,0.8383691297827605,0.9581051,4.747548084007576
Large,PCA,10,5,45,0.8157,0.8147307073173135,0.8157,0.8144201408006928,0.955487538888889,0.5142432499560528
Large,Random Projection,10,5,45,0.6854,0.6867113014116696,0.6854,0.6834900117389263,0.9127600388888888,0.9617793750367127
Large,Baseline,784,5,45020,0.8475,0.8503722752915763,0.8474999999999999,0.8474013327726839,0.9587290666666666,4.73212787497323
Large,PCA,20,5,45,0.8475,0.8473706457100529,0.8474999999999999,0.8465281969814586,0.9665746777777777,0.6221484999987297
Large,Random Projection,20,5,45,0.788,0.7913145012165447,0.7879999999999999,0.7874987208027701,0.9486976444444444,0.4480546250124462
Large,Baseline,784,5,45050,0.8409,0.843728333075183,0.8409000000000001,0.8407226458818953,0.9587131055555556,6.911883124965243
Large,PCA,50,5,45,0.8622,0.8624056722429907,0.8622,0.8609997130876911,0.9714063611111111,0.8153527510003187
Large,Random Projection,50,5,45,0.8336,0.8363754722705389,0.8336,0.8330924595776068,0.9625614999999998,0.7806960419984534
Large,Baseline,784,5,45100,0.8435,0.8461098218642646,0.8435,0.8430723054072086,0.9574625166666667,5.485578708990943
Large,PCA,100,5,45,0.8678,0.8683394021263258,0.8677999999999999,0.8668170246998732,0.9726346722222221,1.123543125053402
Large,Random Projection,100,5,45,0.8465,0.8497330181165103,0.8465,0.8460301654035748,0.9667384,0.9686507080332376
Large,Baseline,784,5,45200,0.8416,0.8451211279114471,0.8416,0.8418013585797102,0.9588999833333334,4.931498416990507
Large,PCA,200,5,45,0.8679,0.8689552437124103,0.8679,0.8670058378532843,0.9724172555555555,1.601408833928872
Large,Random Projection,200,5,45,0.853,0.8560177202865372,0.8530000000000001,0.8525580462893435,0.967174138888889,1.4691754580126144
Large,Baseline,784,5,45500,0.8425,0.8454805568454276,0.8424999999999999,0.8421890241749208,0.9580606111111111,5.21143458300503
Large,PCA,500,5,45,0.8608,0.8629935220921349,0.8607999999999999,0.8598668177249775,0.9702506999999999,3.474979875027202
Large,Random Projection,500,5,45,0.86,0.8624199295041322,0.86,0.8592743921615427,0.9699625944444445,3.2473800840089098
Small,Baseline,536,5,46002,0.7391304347826086,0.7297297297297297,0.7714285714285715,0.75,0.8067226890756302,0.0057782920193858445
Small,PCA,2,5,46,0.463768115942029,0.4782608695652174,0.6285714285714286,0.5432098765432098,0.46176470588235297,0.006176666996907443
Small,Random Projection,2,5,46,0.5507246376811594,0.5526315789473685,0.6,0.5753424657534246,0.5567226890756303,0.005177459039259702
Small,Baseline,536,5,46005,0.7536231884057971,0.725,0.8285714285714286,0.7733333333333333,0.8071428571428572,0.004689083027187735
Small,PCA,5,5,46,0.6811594202898551,0.6326530612244898,0.8857142857142857,0.7380952380952381,0.6974789915966386,0.005382667062804103
Small,Random Projection,5,5,46,0.7681159420289855,0.7878787878787878,0.7428571428571429,0.7647058823529411,0.7647058823529412,0.004320541978813708
Small,Baseline,536,5,46010,0.782608695652174,0.7777777777777778,0.8,0.7887323943661971,0.7995798319327732,0.005521334009245038
Small,PCA,10,5,46,0.7536231884057971,0.7142857142857143,0.8571428571428571,0.7792207792207793,0.8012605042016807,0.005649583996273577
Small,Random Projection,10,5,46,0.7391304347826086,0.7575757575757576,0.7142857142857143,0.7352941176470589,0.792436974789916,0.004340084036812186
Small,Baseline,536,5,46020,0.6956521739130435,0.6666666666666666,0.8,0.7272727272727273,0.8067226890756303,0.004832916019950062
Small,PCA,20,5,46,0.7971014492753623,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.8638655462184874,0.005056832975242287
Small,Random Projection,20,5,46,0.7681159420289855,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7802521008403361,0.004642250016331673
Small,Baseline,536,5,46050,0.7536231884057971,0.7647058823529411,0.7428571428571429,0.7536231884057971,0.8504201680672269,0.005087375000584871
Small,PCA,50,5,46,0.7971014492753623,0.7837837837837838,0.8285714285714286,0.8055555555555556,0.8365546218487395,0.006779333984013647
Small,Random Projection,50,5,46,0.7246376811594203,0.7352941176470589,0.7142857142857143,0.7246376811594203,0.7550420168067227,0.005581042089033872
Small,Baseline,536,5,46100,0.7246376811594203,0.7222222222222222,0.7428571428571429,0.7323943661971831,0.7915966386554623,0.005415583029389381
Small,PCA,100,5,46,0.7536231884057971,0.75,0.7714285714285715,0.7605633802816901,0.8306722689075631,0.010879501001909375
Small,Random Projection,100,5,46,0.6666666666666666,0.6764705882352942,0.6571428571428571,0.6666666666666666,0.7928571428571428,0.006752332963515073
Medium,Baseline,561,5,46002,0.8808958262639973,0.8858339105388469,0.87600288097885,0.8775468836243431,0.9728448687208963,0.16983554197940975
Medium,PCA,2,5,46,0.5486935866983373,0.5871098788776195,0.5492880236602546,0.5504438077484842,0.8474113457630407,0.05594641697825864
Medium,Random Projection,2,5,46,0.4519850695622667,0.46842440531427104,0.4488454276922315,0.45080445468137337,0.8039645583323338,0.026717041968367994
Medium,Baseline,561,5,46005,0.8917543264336614,0.8955526891923956,0.8875842724033447,0.8889228407031146,0.9716540030509481,0.15277545800199732
Medium,PCA,5,5,46,0.7974211062097047,0.8012636237038949,0.7896211616450142,0.7897887084501919,0.9464654620011181,0.057585917005781084
Medium,Random Projection,5,5,46,0.6145232439769257,0.6184193799319885,0.6022335957284103,0.600244312074172,0.8819264413930973,0.040853416023310274
Medium,Baseline,561,5,46010,0.8815744825246012,0.8846338460891564,0.8765941949283107,0.8778897472287327,0.9692967607485737,0.19349420903017744
Medium,PCA,10,5,46,0.842551747539871,0.8443842813122729,0.8378463098207547,0.838812436362562,0.9647964754439243,0.0842679159832187
Medium,Random Projection,10,5,46,0.6783169324737021,0.6841080581682278,0.6669977155621433,0.6673306123816075,0.9066577487852087,0.11818820802727714
Medium,Baseline,561,5,46020,0.8788598574821853,0.881635637052257,0.8735575031396644,0.8748443411443935,0.9672414520047932,0.15618016698863357
Medium,PCA,20,5,46,0.8601968103155752,0.8637154672521871,0.855993620397194,0.8573210772512988,0.9702291288172735,0.0672602909617126
Medium,Random Projection,20,5,46,0.7499151679674245,0.7567902990914096,0.7399318053576135,0.7415681397619543,0.9298145322152557,0.04643533402122557
Medium,Baseline,561,5,46050,0.8775025449609772,0.8811485144562413,0.8726606659145508,0.8738396956418532,0.9738700902503736,0.16467429097974673
Medium,PCA,50,5,46,0.8876823888700374,0.8897843247294892,0.883106530716241,0.8843520151007089,0.9774973526299294,0.07378054200671613
Medium,Random Projection,50,5,46,0.820834747200543,0.8248246303850246,0.8114969643842006,0.8120182737443585,0.9592725307047988,0.05694874899927527
Medium,Baseline,561,5,46100,0.8839497794367153,0.8878908553344985,0.8798149714817519,0.8812963728279013,0.9707814091608443,0.20217387500451878
Medium,PCA,100,5,46,0.8978622327790974,0.9008460064541167,0.8933548171790039,0.8947232334479933,0.9792863603907151,0.1110519579378888
Medium,Random Projection,100,5,46,0.8605361384458772,0.8606728547510126,0.8544274049294093,0.8551998152694001,0.9711890679699343,0.0852467090007849
Medium,Baseline,561,5,46200,0.8893790295215473,0.893527938492976,0.8848219573634598,0.8862502573220343,0.9723504930608463,0.19622208300279453
Medium,PCA,200,5,46,0.9032914828639295,0.9082451420547984,0.8985610932577912,0.9001662023792759,0.9801859035763377,0.1263037919998169
Medium,Random Projection,200,5,46,0.8751272480488632,0.8807588836789054,0.86971371694173,0.8715249975205125,0.9741463403506593,0.14948812400689349
Medium,Baseline,561,5,46500,0.8795385137427892,0.8851469814568288,0.8750326457012023,0.876828371294336,0.9703869364610495,0.1922322089667432
Medium,PCA,500,5,46,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799100556536308,0.40884141699643806
Medium,Random Projection,500,5,46,0.8917543264336614,0.8965583915148262,0.8867601888036577,0.8884971094306612,0.9772556983378333,0.20188495895126835
Large,Baseline,784,5,46002,0.8427,0.8458358737194331,0.8427,0.842516211272935,0.9575171166666667,4.872570040985011
Large,PCA,2,5,46,0.5058,0.50326483839864,0.5058,0.5003066161034706,0.8521153666666667,0.29673416598234326
Large,Random Projection,2,5,46,0.308,0.2951454668152256,0.30800000000000005,0.2975424278231586,0.683934738888889,0.1411814999883063
Large,Baseline,784,5,46005,0.8407,0.8447177133693625,0.8407,0.8410559281837197,0.9567964388888889,4.99126920796698
Large,PCA,5,5,46,0.7481,0.7455583306327229,0.7481,0.7452932900709355,0.9324499222222222,0.3770226249471307
Large,Random Projection,5,5,46,0.5242,0.5250264102077663,0.5242000000000001,0.521408227658124,0.8303371555555555,0.24697133293375373
Large,Baseline,784,5,46010,0.8469,0.8503988860197786,0.8469,0.8468874096504365,0.9593234999999998,4.818250500014983
Large,PCA,10,5,46,0.8157,0.8147307073173135,0.8157,0.8144201408006928,0.955487538888889,0.5340711669996381
Large,Random Projection,10,5,46,0.6993,0.699891349384948,0.6992999999999999,0.6973753421996871,0.9175823722222223,1.0848479170235805
Large,Baseline,784,5,46020,0.8423,0.845353985780118,0.8423000000000002,0.8420803663784782,0.9584046166666667,6.453574625018518
Large,PCA,20,5,46,0.8475,0.8473706457100529,0.8474999999999999,0.8465281969814586,0.9665746777777777,0.6904715419514105
Large,Random Projection,20,5,46,0.7882,0.7907931791364217,0.7882,0.7861555166689268,0.9496327444444445,0.4301075000548735
Large,Baseline,784,5,46050,0.8386,0.8415035922565203,0.8386000000000001,0.8379714327491244,0.9586210555555557,4.758827167039271
Large,PCA,50,5,46,0.8622,0.8624056722429907,0.8622,0.8609997130876911,0.9714063611111111,0.7940994169330224
Large,Random Projection,50,5,46,0.8368,0.8395790349334578,0.8368,0.8357098033459527,0.9631221277777777,0.9971665000193752
Large,Baseline,784,5,46100,0.8422,0.8458671195992746,0.8421999999999998,0.8418325325408539,0.958880277777778,4.715921208029613
Large,PCA,100,5,46,0.8678,0.8683394021263258,0.8677999999999999,0.8668170246998732,0.9726346722222221,1.067600543028675
Large,Random Projection,100,5,46,0.8519,0.8542744786955462,0.8519,0.8508264322845436,0.9680981777777777,0.9116750839166343
Large,Baseline,784,5,46200,0.8398,0.8423154259923411,0.8398,0.8393511413468122,0.9584924777777779,4.956639041949529
Large,PCA,200,5,46,0.8679,0.8689552437124103,0.8679,0.8670058378532843,0.9724172555555555,1.6193582499981858
Large,Random Projection,200,5,46,0.8536,0.856256896590925,0.8535999999999999,0.8528493341678066,0.9686687666666666,1.4226478750351816
Large,Baseline,784,5,46500,0.8431,0.8464172631217108,0.8431000000000001,0.8432565606572167,0.9578771111111111,4.7253205419983715
Large,PCA,500,5,46,0.8608,0.8629935220921349,0.8607999999999999,0.8598668177249775,0.9702506999999999,3.441367583058309
Large,Random Projection,500,5,46,0.8569,0.8598222402989618,0.8568999999999999,0.8561544928820279,0.9697773166666668,3.5211310829618014
