Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Small,Random Projection,2,5,44,0.4782608695652174,0.475,0.5588235294117647,0.5135135135135135,0.5592436974789916,0.00435525004286319
Small,Baseline,536,5,44005,0.6666666666666666,0.72,0.5294117647058824,0.6101694915254238,0.7978991596638656,0.004424334038048983
Small,PCA,5,5,44,0.7971014492753623,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.8407563025210083,0.005303290963638574
Small,Random Projection,5,5,44,0.5362318840579711,0.53125,0.5,0.5151515151515151,0.596218487394958,0.0058994999853894114
Small,Baseline,536,5,44010,0.7246376811594203,0.7777777777777778,0.6176470588235294,0.6885245901639344,0.76890756302521,0.011484583024866879
Small,PCA,10,5,44,0.7391304347826086,0.7,0.8235294117647058,0.7567567567567568,0.8138655462184874,0.011020915932022035
Small,Random Projection,10,5,44,0.5652173913043478,0.5833333333333334,0.4117647058823529,0.4827586206896552,0.6281512605042017,0.008520832925569266
Small,Baseline,536,5,44020,0.6666666666666666,0.7391304347826086,0.5,0.5964912280701754,0.7449579831932773,0.0054876249632798135
Small,PCA,20,5,44,0.6811594202898551,0.6875,0.6470588235294118,0.6666666666666666,0.7621848739495798,0.008411791932303458
Small,Random Projection,20,5,44,0.6811594202898551,0.7,0.6176470588235294,0.65625,0.7336134453781513,0.0047054169699549675
Small,Baseline,536,5,44050,0.7246376811594203,0.7586206896551724,0.6470588235294118,0.6984126984126984,0.7567226890756301,0.007311665976885706
Small,PCA,50,5,44,0.7681159420289855,0.8,0.7058823529411765,0.75,0.8109243697478992,0.01273054099874571
Small,Random Projection,50,5,44,0.7536231884057971,0.7931034482758621,0.6764705882352942,0.7301587301587301,0.7953781512605043,0.008148416003677994
Small,Baseline,536,5,44100,0.7246376811594203,0.7027027027027027,0.7647058823529411,0.7323943661971831,0.8197478991596638,0.006900666980072856
Small,PCA,100,5,44,0.7681159420289855,0.8,0.7058823529411765,0.75,0.8109243697478992,0.010835207940544933
Small,Random Projection,100,5,44,0.782608695652174,0.8064516129032258,0.7352941176470589,0.7692307692307693,0.8373949579831933,0.008059542044065893
Medium,Baseline,561,5,44002,0.8832711231761113,0.8866348863558776,0.8783257448065234,0.8796478317749972,0.9678786964761965,0.21070583298569545
Medium,PCA,2,5,44,0.5486935866983373,0.5871098788776195,0.5492880236602546,0.5504438077484842,0.8474113457630407,0.04700291797053069
Medium,Random Projection,2,5,44,0.4886325076348829,0.49417416423331356,0.48325188578254624,0.4839020875305223,0.793078870184338,0.022701334033627063
Medium,Baseline,561,5,44005,0.8920936545639634,0.894639964451887,0.8879796681960349,0.8893269111274057,0.9729559782474918,0.19733370799804106
Medium,PCA,5,5,44,0.7974211062097047,0.8012636237038949,0.7896211616450142,0.7897887084501919,0.9464654620011181,0.07144429098116234
Medium,Random Projection,5,5,44,0.5541228367831693,0.568187618725616,0.5507175185424651,0.5553669375565481,0.8389708624156155,0.05656562396325171
Medium,Baseline,561,5,44010,0.8890397013912453,0.8924266697147022,0.884877102281203,0.8863525315537132,0.9724198430623185,0.3434357500518672
Medium,PCA,10,5,44,0.842551747539871,0.8443842813122729,0.8378463098207547,0.838812436362562,0.9647964754439243,0.10954466694965959
Medium,Random Projection,10,5,44,0.6623685103495079,0.6699004412061612,0.6541450775415374,0.6546619689753371,0.9067338763468326,0.1017425000318326
Medium,Baseline,561,5,44020,0.8798778418730913,0.8840037200272978,0.8751050173545131,0.8764037745272798,0.9711963908322959,0.24463504197774455
Medium,PCA,20,5,44,0.8601968103155752,0.8637154672521871,0.855993620397194,0.8573210772512988,0.9702291288172735,0.08043179201195017
Medium,Random Projection,20,5,44,0.7729894808279606,0.7859667063031422,0.7648506763783304,0.7663057362141492,0.9419748038469811,0.04993408394511789
Medium,Baseline,561,5,44050,0.8768238887003733,0.8819836953527216,0.8717362993025447,0.8732778030931168,0.9715935264923715,0.16946979198837653
Medium,PCA,50,5,44,0.8876823888700374,0.8897843247294892,0.883106530716241,0.8843520151007089,0.9774973526299294,0.09085458400659263
Medium,Random Projection,50,5,44,0.8411944350186631,0.8506027319375405,0.8355123672181922,0.8382048190058103,0.9695164659433978,0.05782687396276742
Medium,Baseline,561,5,44100,0.8829317950458093,0.8863498498676624,0.878024394395751,0.8793075351430649,0.9721817588206024,0.19047475000843406
Medium,PCA,100,5,44,0.8978622327790974,0.9008460064541167,0.8933548171790039,0.8947232334479933,0.9792863603907151,0.11310383299132809
Medium,Random Projection,100,5,44,0.8771632168306752,0.8819991095562848,0.8718068431678411,0.8735324609890176,0.9764115782349458,0.0744742500828579
Medium,Baseline,561,5,44200,0.8842891075670173,0.8902793241979944,0.8797077344391614,0.8815165637026611,0.9706071962226162,0.18636483402224258
Medium,PCA,200,5,44,0.9032914828639295,0.9082451420547984,0.8985610932577912,0.9001662023792759,0.9801859035763377,0.1733367490232922
Medium,Random Projection,200,5,44,0.8897183576518494,0.8912064656000301,0.8847166383968278,0.8858818103902065,0.979589844363039,0.14088904106756672
Medium,Baseline,561,5,44500,0.8944689514760774,0.8998472454481276,0.8889983887845796,0.8907646971679322,0.9698896113783357,0.21057712502079085
Medium,PCA,500,5,44,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799100556536308,0.27666137501364574
Medium,Random Projection,500,5,44,0.8903970139124533,0.8945706793644174,0.8861413680608897,0.8876755556070725,0.979388927928333,0.18956454197177663
Large,Baseline,784,5,44002,0.8431,0.8465210759045106,0.8431,0.8427924204699193,0.9594394833333334,5.526048958010506
Large,PCA,2,5,44,0.5058,0.50326483839864,0.5058,0.5003066161034706,0.8521153666666667,0.2775320419459604
Large,Random Projection,2,5,44,0.2332,0.22312190311804891,0.2332,0.2206176337129305,0.6314003000000001,0.13171641703229398
Large,Baseline,784,5,44005,0.843,0.845953429216725,0.843,0.8428690745663541,0.958826561111111,5.807503791002091
Large,PCA,5,5,44,0.7481,0.7455583306327229,0.7481,0.7452932900709355,0.9324499222222222,0.35278437595115975
Large,Random Projection,5,5,44,0.4798,0.47385380407866273,0.4798,0.4735873312656517,0.8077606388888888,0.30163649894529954
Large,Baseline,784,5,44010,0.8399,0.8424469927873831,0.8398999999999999,0.8395201171116888,0.9586468833333333,4.8055764170130715
Large,PCA,10,5,44,0.8157,0.8147307073173135,0.8157,0.8144201408006928,0.955487538888889,0.5631017509731464
Large,Random Projection,10,5,44,0.6721,0.674421788419517,0.6721,0.6705604161976846,0.9022053444444446,1.1056785430409946
Large,Baseline,784,5,44020,0.844,0.8463478243384819,0.844,0.8432524812074765,0.9586571666666666,5.486100083973724
Large,PCA,20,5,44,0.8475,0.8473706457100529,0.8474999999999999,0.8465281969814586,0.9665746777777777,0.7129854160011746
Large,Random Projection,20,5,44,0.7836,0.7888662330439371,0.7836000000000001,0.7837207036531629,0.9475821277777777,0.6443506249343045
Large,Baseline,784,5,44050,0.8443,0.846827587245684,0.8442999999999999,0.8437624943728153,0.9589887166666667,5.274854624993168
Large,PCA,50,5,44,0.8622,0.8624056722429907,0.8622,0.8609997130876911,0.9714063611111111,0.763795500039123
