Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Explained Variance,Time Taken (seconds)
Large,Baseline,784,10,10,42200,0.3493660068868045,0.5128146360247712,0.15467281522219295,,,,10.9620252919849
Large,PCA,200,10,10,42,0.3484865536724197,0.5124200348198165,0.16674880075982287,,,0.9536634114273629,3.080198915966321
Large,Random Projection,200,10,10,42,0.34696582887478716,0.5100720974529017,0.15634565574154924,,,,2.642437333066482
Large,Baseline,784,10,10,42500,0.3520180028933789,0.5088037298071744,0.14464444058959955,,,,12.472294625011273
Large,PCA,500,10,10,42,0.34856881598887135,0.5124787283635154,0.15618091881047708,,,0.9926156786617941,9.034927582077216
Large,Random Projection,500,10,10,42,0.34458670518906603,0.5106131494461137,0.15578351960186496,,,,8.158112584031187
Small,Baseline,536,2,10,43002,0.006553225556651076,0.007876027192688243,0.041860518012348705,,,,0.01249391696183011
Small,PCA,2,2,10,43,0.0432072155718407,0.03587590435716508,0.3263826126200235,,,0.13244386962378518,0.026910458982456475
Small,Random Projection,2,2,10,43,-0.003839485628288057,0.00023564934540336562,0.3393639261724701,,,,0.005375375039875507
Small,Baseline,536,2,10,43005,0.14264579224429003,0.10835023885772954,0.04872824595406475,,,,0.015351250011008233
Small,PCA,5,2,10,43,0.06895509167049013,0.0604881284839385,0.16563463656380578,,,0.30085551803583216,0.006202958000358194
Small,Random Projection,5,2,10,43,0.029107512874323782,0.02419967633197035,0.18175825953313807,,,,0.008801708987448364
Small,Baseline,536,2,10,43010,0.1706555243282679,0.13306867337599868,0.0515109539817291,,,,0.008487041981425136
Small,PCA,10,2,10,43,0.07837914558666302,0.06154757916123235,0.08743766918724467,,,0.5249686652318405,0.006283292022999376
Small,Random Projection,10,2,10,43,0.10529461100522693,0.0806986562616622,0.14315849769718983,,,,0.005689792043995112
Small,Baseline,536,2,10,43020,0.27821009092283894,0.21385304764334614,0.04858019604558196,,,,0.008983541978523135
Small,PCA,20,2,10,43,0.08891983290232743,0.07519926701935217,0.06497252789634836,,,0.81773715032694,0.00904187501873821
Small,Random Projection,20,2,10,43,0.040123259395148825,0.04189694534360813,0.10916652278083205,,,,0.005903042037971318
Small,Baseline,536,2,10,43050,0.11124581357562091,0.08854392532136057,0.05247848760260098,,,,0.01009816600708291
Small,PCA,50,2,10,43,0.05532143898079102,0.045762150281201765,0.04055394231401582,,,0.9883483361820948,0.0120176249765791
Small,Random Projection,50,2,10,43,0.25998307301685003,0.19932290935131097,0.06834245719286264,,,,0.007685584016144276
Small,Baseline,536,2,10,43100,0.036158989224440864,0.033002960381422045,0.06793687293650258,,,,0.012823249970097095
Small,PCA,100,2,10,43,0.059635570717266224,0.04888848550225368,0.0408705957574356,,,0.9996597568348661,0.017613457050174475
Small,Random Projection,100,2,10,43,0.08899715427640914,0.07753926552220164,0.08261553730607044,,,,0.010490958986338228
Small,Baseline,536,2,10,43200,0.11721225936293042,0.09207912642376828,0.05165914394256067,,,,0.010589999961666763
Small,PCA,200,2,10,43,0.059635570717266224,0.04888848550225368,0.04084946141181955,,,0.9999999664458754,0.02008208294864744
Small,Random Projection,200,2,10,43,0.1427094784490263,0.11117357669141277,0.06177322280067097,,,,0.010307207994628698
Medium,Baseline,561,6,10,43002,0.45577616451560005,0.5843823852429516,0.14464120634863434,,,,0.6062667079968378
Medium,PCA,2,6,10,43,0.25587188963185015,0.4308651492753624,0.45053501786608097,,,0.6746746270487901,0.07023870799457654
Medium,Random Projection,2,6,10,43,0.18943193631014046,0.2756967290017951,0.33432153233095924,,,,0.07000787497963756
Medium,Baseline,561,6,10,43005,0.4549249500915282,0.5832664512032797,0.14529277283322126,,,,0.7235976670053788
Medium,PCA,5,6,10,43,0.4620855686955214,0.5864112751904044,0.37276278105530697,,,0.751587462654516,0.1036558750201948
Medium,Random Projection,5,6,10,43,0.3059949990117207,0.4599704939003148,0.20357303193485313,,,,0.07479037501616403
Medium,Baseline,561,6,10,43010,0.454831385509881,0.5832384825706509,0.14448806009274962,,,,0.9074804999982007
Medium,PCA,10,6,10,43,0.4584985035704485,0.5852987994394779,0.28026535632534794,,,0.8050387180555126,0.09700699901441112
Medium,Random Projection,10,6,10,43,0.3497369199140167,0.491946879591053,0.15924739542791744,,,,0.05917883402435109
Medium,Baseline,561,6,10,43020,0.4549249500915282,0.5832664512032798,0.14529277283322126,,,,0.8965069589903578
Medium,PCA,20,6,10,43,0.454952505112837,0.58325504539867,0.22119590719883625,,,0.8578471115500221,0.12366741598816589
Medium,Random Projection,20,6,10,43,0.37207188499687976,0.504271012882901,0.13387756877679505,,,,0.1018249589833431
Medium,Baseline,561,6,10,43050,0.45578104087822924,0.5843564300970903,0.14566112536808787,,,,0.6758975830161944
Medium,PCA,50,6,10,43,0.45353110494522986,0.5825562232668445,0.17198880171398087,,,0.9308630670765421,0.20821641600923613
Medium,Random Projection,50,6,10,43,0.45915091011529796,0.5823315507598621,0.14697808679210825,,,,0.2784780410001986
Medium,Baseline,561,6,10,43100,0.454831385509881,0.5832384825706507,0.14448806009274962,,,,0.5580605419818312
Medium,PCA,100,6,10,43,0.4570942936162108,0.5846665479105352,0.15583421926996066,,,0.9730111912684988,0.35170825000386685
Medium,Random Projection,100,6,10,43,0.4863857812837201,0.6009284426589107,0.13340617116303485,,,,0.21992058301111683
Medium,Baseline,561,6,10,43200,0.4569715024447377,0.5846604474844591,0.14586758512817696,,,,0.8953086669789627
Medium,PCA,200,6,10,43,0.456333390611856,0.5842207373954654,0.1471571829323058,,,0.9953591250019421,0.29540037602419034
Medium,Random Projection,200,6,10,43,0.45288988843382166,0.5845077107965643,0.1455661814328483,,,,0.2836588329519145
Medium,Baseline,561,6,10,43500,0.455755085259575,0.5842556779696725,0.14532120620473768,,,,0.9070933340117335
Medium,PCA,500,6,10,43,0.4557828196272473,0.5842791619357578,0.14522332813824448,,,0.9999999999999994,0.7929512090049684
Medium,Random Projection,500,6,10,43,0.4536944974741553,0.5861423044979844,0.1421198395771316,,,,0.9251167080365121
Large,Baseline,784,10,10,43002,0.34858074618235363,0.5124850882563813,0.15440405669959578,,,,11.783224124985281
Large,PCA,2,10,10,43,0.26158433470911197,0.417677490940339,0.3957115853540157,,,0.46739021811509207,0.37891395803308114
Large,Random Projection,2,10,10,43,0.05547792794436875,0.11026451682694408,0.3171985437300061,,,,0.4346527500310913
Large,Baseline,784,10,10,43005,0.3292604328182837,0.5097661137182328,0.14913496487998454,,,,10.002513458020985
Large,PCA,5,10,10,43,0.33434530913857824,0.4852870741170894,0.31571717816096606,,,0.6157128177289273,0.5670412500039674
Large,Random Projection,5,10,10,43,0.15795558612199243,0.2501939553902469,0.16026964400930585,,,,0.7740159169770777
Large,Baseline,784,10,10,43010,0.34858074618235363,0.5124850882563813,0.15440405669959578,,,,14.387643957976252
Large,PCA,10,10,10,43,0.3480008946004949,0.5105609155649357,0.2928582598624454,,,0.7195458980888265,0.5317880010115914
Large,Random Projection,10,10,10,43,0.24585728671215262,0.369588719232179,0.13694932225226658,,,,0.553272249060683
Large,Baseline,784,10,10,43020,0.34101159887571747,0.4918988555479138,0.13806436776126435,,,,10.296622125024442
Large,PCA,20,10,10,43,0.3745128863368687,0.5121652459503632,0.22880218155082388,,,0.7848278490948407,0.5332900420180522
Large,Random Projection,20,10,10,43,0.29044162221359093,0.44930047013184954,0.14913552923145365,,,,0.5768916250090115
Large,Baseline,784,10,10,43050,0.34858074618235363,0.5124850882563813,0.15440405669959578,,,,13.313926708011422
