Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Time Taken (seconds)
Large,PCA,5,10,10,42,0.33538161344233847,0.4873110168504241,0.32488937237955307,1000,42,0.5235564579779748
Large,PCA,10,10,10,42,0.348039335080428,0.5105993692762396,0.30730730227501746,1000,42,0.5369274160184432
Large,PCA,20,10,10,42,0.38663910077974883,0.5301921475782645,0.2547113323192368,1000,42,0.539437666971935
Large,PCA,50,10,10,42,0.34887219985653584,0.5127327940233141,0.21211174667238145,1000,42,0.8201274159946479
Large,PCA,100,10,10,42,0.3490315340869516,0.5129082521332974,0.19001779530645319,1000,42,1.841695790993981
Large,PCA,200,10,10,42,0.3484865536724197,0.5124200348198165,0.1757770088130412,1000,42,3.1354669999855105
Large,PCA,500,10,10,42,0.34856881598887135,0.5124787283635154,0.1646287937239137,1000,42,7.366559416987002
Small,PCA,2,2,10,42,0.0432072155718407,0.03587590435716508,0.32541912009913143,,,0.06371508302981965
Small,PCA,5,2,10,42,0.06861791810209315,0.05343941431349547,0.14433306411730834,,,0.006629749987041578
Small,PCA,10,2,10,42,0.1111290934512739,0.08466762895701224,0.09346514115610387,,,0.006055167003069073
Small,PCA,20,2,10,42,0.20896316331958595,0.16038819846155575,0.06381900602539152,,,0.012196166993817315
Small,PCA,50,2,10,42,0.1931592366489174,0.14755723187433187,0.04801184452886205,,,0.014321542024845257
Small,PCA,100,2,10,42,0.08382358157292033,0.07498355813710124,0.05506255770197627,,,0.014759083016542718
Small,PCA,200,2,10,42,0.08382358157292033,0.07498355813710124,0.055034806319010775,,,0.01824112600297667
Medium,PCA,2,6,10,42,0.2551397805629852,0.43034449943002945,0.4493382699533819,,,0.07454754202626646
Medium,PCA,5,6,10,42,0.4618043707726334,0.5861828574122869,0.37234219194475027,,,0.12279495902475901
Medium,PCA,10,6,10,42,0.4580181295713951,0.5849511805608744,0.2806843477273512,,,0.08332391601288691
Medium,PCA,20,6,10,42,0.45391006081541513,0.5822949934401811,0.22143822610313574,,,0.07898770799511112
Medium,PCA,50,6,10,42,0.45580831351112866,0.5842977634660079,0.17349757920315514,,,0.11401329099317081
Medium,PCA,100,6,10,42,0.45582940033398656,0.5842545247223596,0.15447515934437955,,,0.17281129097682424
Medium,PCA,200,6,10,42,0.4547563333306509,0.5831943152684248,0.14588154034399903,,,0.2599928750132676
Medium,PCA,500,6,10,42,0.4564989402003851,0.5842935666697832,0.14657234429198834,,,0.6698555420152843
Large,PCA,2,10,10,42,0.26201107235865645,0.41802986736955255,0.3941307204990801,1000,42,0.8786900829873048
Large,PCA,5,10,10,42,0.33538161344233847,0.4873110168504241,0.32488937237955307,1000,42,0.6906382919696625
Large,PCA,10,10,10,42,0.348039335080428,0.5105993692762396,0.30730730227501746,1000,42,0.5951119159872178
Large,PCA,20,10,10,42,0.38663910077974883,0.5301921475782645,0.2547113323192368,1000,42,0.5282139990013093
Large,PCA,50,10,10,42,0.34887219985653584,0.5127327940233141,0.21211174667238145,1000,42,0.9210787499905564
Large,PCA,100,10,10,42,0.3490315340869516,0.5129082521332974,0.19001779530645319,1000,42,3.1592091670027003
Large,PCA,200,10,10,42,0.3484865536724197,0.5124200348198165,0.1757770088130412,1000,42,5.52668770798482
Large,PCA,500,10,10,42,0.34856881598887135,0.5124787283635154,0.1646287937239137,1000,42,7.576475916983327
Large,PCA,2,10,10,42,0.26201107235865645,0.41802986736955255,0.3958677920279712,,,0.44713566699647345
Large,PCA,5,10,10,42,0.33538161344233847,0.4873110168504241,0.31605517489322144,,,0.5870423750020564
Large,PCA,10,10,10,42,0.348039335080428,0.5105993692762396,0.29285087774054613,,,0.6963563759927638
Large,PCA,20,10,10,42,0.38663910077974883,0.5301921475782645,0.24041408936165748,,,1.0713110830110963
Large,PCA,50,10,10,42,0.34887219985653584,0.5127327940233141,0.20119115595562836,,,0.9519637500343379
Large,PCA,100,10,10,42,0.3490315340869516,0.5129082521332974,0.18056963260431932,,,1.7324277080479078
Large,PCA,200,10,10,42,0.3484865536724197,0.5124200348198165,0.16674880075982287,,,3.0522693330131005
Large,PCA,500,10,10,42,0.34856881598887135,0.5124787283635154,0.15618091881047708,,,7.19304166699294
Small,Random Projection,2,2,10,42,0.004836505936194203,0.006678945841950189,0.33363181297912514,,,0.047487584000919014
Small,Random Projection,5,2,10,42,0.03939748380076945,0.03205907177369372,0.21178578503389403,,,0.006281707988819107
Small,Random Projection,10,2,10,42,0.14943291105657625,0.11476842861451768,0.14884720615009944,,,0.006255165993934497
Small,Random Projection,20,2,10,42,0.07833880088772036,0.0606629085005952,0.11059234312218823,,,0.007900166005128995
Small,Random Projection,50,2,10,42,0.1360794629248628,0.10505227898614627,0.08698772625450861,,,0.007625581987667829
Small,Random Projection,100,2,10,42,0.08341035694849185,0.0640682099493354,0.064064110062006,,,0.007207207992905751
Small,Random Projection,200,2,10,42,0.0733978056934703,0.05689870986079054,0.05865186050148261,,,0.010100126004545018
Small,Random Projection,500,2,10,42,0.10529461100522693,0.0806986562616622,0.05056578042532332,,,0.01536504301475361
Medium,Random Projection,2,6,10,42,0.2525556037994528,0.3593545843649253,0.3424590261211028,,,0.07852200002525933
